x,y
154,800
647,800
647,1024
154,1024
0,775
86,775
86,1004
0,1004
46,594
681,594
681,924
46,924
703,835
737,835
737,878
703,878
724,809
832,809
832,889
724,889
902,785
963,785
963,937
902,937
669,841
708,841
708,876
669,876
861,796
943,796
943,872
861,872
949,839
989,839
989,870
949,870
1045,827
1105,827
1105,868
1045,868
1214,703
1508,703
1508,874
1214,874
677,817
721,817
721,851
677,851
1502,800
1594,800
1594,847
1502,847
1194,838
1225,838
1225,863
1194,863
899,817
965,817
965,935
899,935
1784,793
1806,793
1806,851
1784,851
1089,766
1100,766
1100,779
1089,779
1015,785
1023,785
1023,794
1015,794
1007,783
1017,783
1017,793
1007,793
